Wertstellung;Buchungstext;Auftraggeber / Begünstigter;Verwendungszweck;Kontonummer;BLZ;Betrag (EUR);Gläubiger-ID;Mandatsreferenz
03.07.20;Lastschrifteinzug;Wohnung_24;D6W5EF5F26128354 HG in 07/2020 LAK2-024 Wohnung_24                   DATUM 26.06.2020, 15.45 UHR1.TAN 502875;DE0022555555555555555;WELADE3LXXX;310,87;;
03.07.20;Lastschrifteinzug;Wohnung_19;DXK5EF5F260A54EE HG in 07/2020 LAK2-019 Kzritzwik, Eduard                     DATUM 26.06.2020, 15.45 UHR1.TAN 502875;DE0031555555555555555;GENODEM1SLN;226,87;;
03.07.20;Lastschrifteinzug;Wohnung_19;DEH5EF5F25FEE8D7 HG in 07/2020 LAK2-007 Kzritzwik, Vitali                     DATUM 26.06.2020, 15.45 UHR1.TAN 502875;DE0031555555555555555;GENODEM1SLN;225,87;;
03.07.20;Überweisung;INTERN Heizkontroll-Gesellschaft K.Weber;S-803161, Muster-Str. 2, Bad Quelllippe  DATUM 03.07.2020, 15.59 UHR1.TAN 969432;DE0032555555555555555;DGPBDE3MXXX;-192,78;;
09.07.20;Lastschrift;Telekom Deutschland GmbH;Festnetz Vertragskonto 5612412723 RG 7509550751/30.06.2020;DE0038555555555555555;PBNKDEFFXXX;-19,44;DE93ZZZ00000078611    ;DE001873774954            
09.07.20;Gutschrift;Auf und Ab Zug Service;Falsche Buchung;DE0002555555555555555;SPBIDE3BXXX;1145,23;;
10.07.20;Lastschrift;Auf und Ab Zug Service;Rechnung : Musterstraße X Notruf 40934 /St?rung 40481 / Dekra 40556;DE0002555555555555555;SPBIDE3BXXX;-1145,23;DE14ZZZ00001327938    ;Eval-320
10.07.20;LuiKorrektur;Auf und Ab Zug Service;Rechnung 40898;DE0002555555555555555;SPBIDE3BXXX;-139,2;DE14ZZZ00001327938    ;Eval-320
10.07.20;LuiKorrektur;Auf und Ab Zug Service;Rechnung :  41056 ;DE0002555555555555555;SPBIDE3BXXX;-207,06;DE14ZZZ00001327938    ;Eval-320
10.07.20;LuiKorrektur;Auf und Ab Zug Service;Rechnung : 41054;DE0002555555555555555;SPBIDE3BXXX;-53,01;DE14ZZZ00001327938    ;Eval-320
10.07.20;LuiKorrektur;Auf und Ab Zug Service;Neutralisierung Rechnung : Musterstraße X Notruf 40898 / Wartung 41056 /Material 41054;DE0002555555555555555;SPBIDE3BXXX;399,27;DE14ZZZ00001327938    ;Eval-320
10.07.20;Lastschrift;Auf und Ab Zug Service;Rechnung : Musterstraße X Notruf 40898 / Wartung 41056 /Material 41054;DE0002555555555555555;SPBIDE3BXXX;-399,27;DE14ZZZ00001327938    ;Eval-320
10.07.20;Überweisung;SanitäreAnlagen-KlimaUndSchwimmbadtechnik Rööhrig;Re 12500618, Muster-Str.2, Bad QuelllippeDATUM 10.07.2020, 16.49 UHR1.TAN 757405;DE0015555555555555555;DEUTDE3B472;-1726,58;;
13.07.20;Lastschrift;Stadtwerke Lemans GmbH;VK 20068667 Abschlag 33175-Muster-Str. 2  ABWA+StW Lemans GmbH;DE0044555555555555555;WELADE3L;-567;DE76ZZZ00001788445    ;2680-00667/187          
17.07.20;Gutschrift;Wohnung_04;WEG AdolfKolping-Str.2 Drewes 19-2747172-0-6;DE0005555555555555555;WELADED1HXB;350;;
27.07.20;Lastschrift;ista Deutschland GmbH;ReNr 0934263965/13.7.2020Muster-Strasse 2 3;DE0035555555555555555;DRESDEFF400;-126,83;DE84ZZZ00000119513    ;DE017618009-RTW   
29.07.20;Lastschrift;Knappschaft-Bahn-See;6006750745 OB-976239171 EUR 171,00 BEITRAG 0720 - 0720                       ABWA+Deutsche Rentenversicherung Knappschaft-Bahn-See;DE0016555555555555555;WELADEDDXXX;-171;DE81KBS00000034886    ;5,05E+17
03.08.20;Lastschrift;BeSte Stadtwerke GmbH;Abschlag 2020 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-461;DE77ZZZ00000148157    ;CO0960027455845          
03.08.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0004555555555555555;COBADEHDXXX;242,61;;
03.08.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;220;;
03.08.20;Dauerauftrag;Landlordgate;Verwalterhonorar;DE0007555555555555555;NOLADE21MEL;-893,78;;
04.08.20;Lastschrift;GC re LCG Energy GmbH;81199 8 2020 GAS 81199;DE0012555555555555555;BARCDEFFXXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;P8NSTCH               
04.08.20;Überweisung;WischUndDreck;Re 5769-20, Muster-Str.2, Treppenhausreinigung 7                     DATUM 03.08.2020, 18.56 UHR1.TAN 641752;DE0019555555555555555;GENODEM1EWB;-574,2;;
05.08.20;Lastschrifteinzug;Wohnung_01;DWD5F21A8FFD125E HG in 08/2020 LAK2-006 Wohnung_01              DATUM 29.07.2020, 18.55 UHR1.TAN 274590;DE0001555555555555555;WELADE3LXXX;262,87;;
05.08.20;Lastschrifteinzug;Wohnung_03;D765F21A8FFB1AAD HG in 08/2020 LAK2-002 Wohnung_03                       DATUM 29.07.2020, 18.55 UHR1.TAN 274590;DE0004555555555555555;DGPBDE3MXXX;242,44;;
05.08.20;Lastschrifteinzug;Wohnung_37;D2B5F21A901A00A9 HG in 08/2020 LAK2-037                    DATUM 29.07.2020, 18.55 UHR1.TAN 274590;DE0008555555555555555;GENODED1ASN;255,61;;
05.08.20;Lastschrifteinzug;Wohnung_22;D5A5F21A9010172E HG in 08/2020 LAK2-022 Wohnung_22                    DATUM 29.07.2020, 18.55 UHR1.TAN 274590;DE0010555555555555555;DGPBDE3MXXX;216,04;;
05.08.20;Lastschrifteinzug;Wohnung_24;D105F21A90136309 HG in 08/2020 LAK2-024 Wohnung_24                   DATUM 29.07.2020, 18.55 UHR1.TAN 274590;DE0022555555555555555;WELADE3LXXX;310,87;;
05.08.20;Lastschrifteinzug;Wohnung_19;D3N5F21A8FFEF6F6 HG in 08/2020 LAK2-007 Kzritzwik, Vitali                     DATUM 29.07.2020, 18.55 UHR1.TAN 274590;DE0031555555555555555;GENODEM1SLN;225,87;;
05.08.20;Lastschrifteinzug;Wohnung_19;DTC5F21A900B4F81 HG in 08/2020 LAK2-019 Kzritzwik, Eduard                     DATUM 29.07.2020, 18.55 UHR1.TAN 274590;DE0031555555555555555;GENODEM1SLN;226,87;;
11.08.20;Lastschrift;Stadtwerke Lemans GmbH;VK 20068667 Abschlag 33175-Muster-Str. 2  ABWA+StW Lemans GmbH;DE0044555555555555555;WELADE3L;-567;DE76ZZZ00001788445    ;2680-00667/187          
11.08.20;Lastschrift;Telekom Deutschland GmbH;Festnetz Vertragskonto 5612412723 RG 7527050841/31.07.2020;DE0038555555555555555;PBNKDEFFXXX;-19,44;DE93ZZZ00000078611    ;DE001873774954            
17.08.20;LuiKorrektur;Stadt Bad Quelllippe;042200 Abwasser;DE0030555555555555555;WELADE3LXXX;-1652,7;DE62BL100000093525    ;10634282-18-1074     
17.08.20;LuiKorrektur;Stadt Bad Quelllippe;042300 Niederschlagswasser;DE0030555555555555555;WELADE3LXXX;-317,64;DE62BL100000093525    ;10634282-18-1074     
17.08.20;LuiKorrektur;Stadt Bad Quelllippe;043200 Müllentsorgung;DE0030555555555555555;WELADE3LXXX;-1202,94;DE62BL100000093525    ;10634282-18-1074     
17.08.20;LuiKorrektur;Stadt Bad Quelllippe;043300 Straßenreinigung;DE0030555555555555555;WELADE3LXXX;-72,09;DE62BL100000093525    ;10634282-18-1074     
17.08.20;LuiKorrektur;Stadt Bad Quelllippe;Originalbuchung neutralisieren;DE0030555555555555555;WELADE3LXXX;3245,37;DE62BL100000093525    ;10634282-18-1074     
17.08.20;Lastschrift;Stadt Bad Quelllippe;1005882-12-1000-1 ABGABEN Muster-Str. 2   ABWA+BAD Quelllippe;DE0030555555555555555;WELADE3LXXX;-3245,37;DE62BL100000093525    ;10634282-18-1074     
17.08.20;Gutschrift;Heinrich Durksen;RE F KELLER 2018 2019 2020 JAHRE;DE0011555555555555555;GENODEM1SLN;153,4;;
27.08.20;Lastschrift;Knappschaft-Bahn-See;8629305954 OB-976239171 EUR 171,00 BEITRAG 0820 - 0820                       ABWA+Deutsche Rentenversicherung Knappschaft-Bahn-See;DE0016555555555555555;WELADEDDXXX;-171;DE81KBS00000034886    ;5,05E+17
01.09.20;Lastschrift;BeSte Stadtwerke GmbH;Abschlag 2020 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-461;DE77ZZZ00000148157    ;CO0960027455845          
01.09.20;Lastschrifteinzug;Wohnung_01;DKH5F48B7749AF13 HGA 01.01.2019 - 31.12.2019 Nachzahlung LAK2-006 Wohnung_01               DATUM 28.08.2020, 10.36 UHR1.TAN 851645;DE0001555555555555555;WELADE3LXXX;378,66;;
01.09.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0004555555555555555;COBADEHDXXX;242,61;;
01.09.20;Lastschrifteinzug;Wohnung_03;DGV5F48B774789A8 HGA 01.01.2019 - 31.12.2019 Nachzahlung LAK2-002 Wohnung_03                        DATUM 28.08.2020, 10.36 UHR1.TAN 851645;DE0004555555555555555;DGPBDE3MXXX;149,25;;
01.09.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;220;;
01.09.20;Lastschrifteinzug;Wohnung_37;DM5F48B7768E2A6 HGA 01.01.2019 - 31.12.2019 Nachzahlung LAK2-037                      DATUM 28.08.2020, 10.36 UHR1.TAN 851645;DE0008555555555555555;GENODED1ASN;340,06;;
01.09.20;Lastschrifteinzug;Wohnung_22;DJS5F48B775D8B81 HGA 01.01.2019 - 31.12.2019 Nachzahlung LAK2-022 Wohnung_22                     DATUM 28.08.2020, 10.36 UHR1.TAN 851645;DE0010555555555555555;DGPBDE3MXXX;570,91;;
01.09.20;Überweisung;SanitäreAnlagen-KlimaUndSchwimmbadtechnik Rööhrig;Re 204522/140, Muster-Str. 2, Bad Lippsrpinge                        DATUM 31.08.2020, 19.32 UHR1.TAN 981756;DE0015555555555555555;DEUTDE3B472;-303,08;;
01.09.20;Lastschrifteinzug;Wohnung_24;DK85F48B7761C0D5 HGA 01.01.2019 - 31.12.2019 Nachzahlung LAK2-024 Wohnung_24                    DATUM 28.08.2020, 10.36 UHR1.TAN 851645;DE0022555555555555555;WELADE3LXXX;299,38;;
01.09.20;Lastschrifteinzug;Wohnung_19;DE55F48B774BB5F0 HGA 01.01.2019 - 31.12.2019 Nachzahlung LAK2-007 Kzritzwik, Vitali                      DATUM 28.08.2020, 10.36 UHR1.TAN 851645;DE0031555555555555555;GENODEM1SLN;323,74;;
01.09.20;Lastschrifteinzug;Wohnung_19;DDR5F48B77584860 HGA 01.01.2019 - 31.12.2019 Nachzahlung LAK2-019 Kzritzwik, Eduard                      DATUM 28.08.2020, 10.36 UHR1.TAN 851645;DE0031555555555555555;GENODEM1SLN;189,76;;
03.09.20;Lastschrift;GC re LCG Energy GmbH;81199 9 2020 GAS 81199;DE0012555555555555555;BARCDEFFXXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;DE0176LKA002
03.09.20;Rückbelastung;Weg Muster-Str. 2, Bad Quelllippe / Wohnung_22; RÜCKLASTSCHRIFT      SONSTIGE GRÜNDE            ZINSAUSGLEICH-FREMDENTGELT       3,00 EURO            EIGENENTGELT     0,00 EURO;DE0010555555555555555;DGPBDE3MXXX;-573,91;;P8NSTCH               
03.09.20;Dauerauftrag;Landlordgate;Verwalterhonorar;DE0007555555555555555;NOLADE21MEL;-893,78;;
04.09.20;Lastschrifteinzug;Wohnung_01;D1K5F4FD1FBE4E33 HG in 09/2020 LAK2-006 Wohnung_01              DATUM 02.09.2020, 19.13 UHR1.TAN 627362;DE0001555555555555555;WELADE3LXXX;292,41;;
04.09.20;Lastschrifteinzug;Wohnung_03;DBY5F4FD1FBCBB91 HG in 09/2020 LAK2-002 Wohnung_03                       DATUM 02.09.2020, 19.13 UHR1.TAN 627362;DE0004555555555555555;DGPBDE3MXXX;268,24;;
04.09.20;Lastschrifteinzug;Wohnung_37;D225F4FD1FD995A8 HG in 09/2020 LAK2-037                    DATUM 02.09.2020, 19.13 UHR1.TAN 627362;DE0008555555555555555;GENODED1ASN;282,28;;
04.09.20;Lastschrifteinzug;Wohnung_22;DQE5F4FD1FCEBEB2 HG in 09/2020 LAK2-022 Wohnung_22                    DATUM 02.09.2020, 19.13 UHR1.TAN 627362;DE0010555555555555555;DGPBDE3MXXX;246,76;;
04.09.20;Lastschrifteinzug;Wohnung_24;DR15F4FD1FD2B571 HG in 09/2020 LAK2-024 Wohnung_24                   DATUM 02.09.2020, 19.13 UHR1.TAN 627362;DE0022555555555555555;WELADE3LXXX;336,41;;
04.09.20;Lastschrifteinzug;Wohnung_19;DND5F4FD1FC092A6 HG in 09/2020 LAK2-007 Kzritzwik, Vitali                     DATUM 02.09.2020, 19.13 UHR1.TAN 627362;DE0031555555555555555;GENODEM1SLN;253,41;;
04.09.20;Lastschrifteinzug;Wohnung_19;DL55F4FD1FCAE8ED HG in 09/2020 LAK2-019 Kzritzwik, Eduard                     DATUM 02.09.2020, 19.13 UHR1.TAN 627362;DE0031555555555555555;GENODEM1SLN;247,41;;
09.09.20;Lastschrift;Telekom Deutschland GmbH;Festnetz Vertragskonto 5612412723 RG 7544205134/31.08.2020;DE0038555555555555555;PBNKDEFFXXX;-19,44;DE93ZZZ00000078611    ;DE001873774954            
09.09.20;Überweisung;SanitäreAnlagen-KlimaUndSchwimmbadtechnik Rööhrig;Re 204866140, Muster-Str. 2, Whg Engel    DATUM 09.09.2020, 17.43 UHR1.TAN 320108;DE0015555555555555555;DEUTDE3B472;-134,1;;
11.09.20;Lastschrift;Stadtwerke Lemans GmbH;VK 20068667 TRINKWASSERPB Abschlag 33175-Muster-Str. 2               ABWA+StW Lemans GmbH;DE0044555555555555555;WELADE3L;-567;DE76ZZZ00001788445    ;2680-00667/187          
16.09.20;Überweisung;Theresia Üppig;Re 2020-10500, Muster-Str. 2, Bad Quelllippe                        DATUM 16.09.2020, 16.39 UHR1.TAN 467069;DE0018555555555555555;WELADED1DEL;-208,8;;
28.09.20;Lastschrift;Knappschaft-Bahn-See;4671475385 OB-976239171 EUR 171,00 BEITRAG 0920 - 0920                       ABWA+Deutsche Rentenversicherung Knappschaft-Bahn-See;DE0016555555555555555;WELADEDDXXX;-171;DE81KBS00000034886    ;5,05E+17
29.09.20;Überweisung;WischUndDreck;Re 5984-20, Muster-Str.2, Treppenhausreinigung                       DATUM 29.09.2020, 17.32 UHR1.TAN 707739;DE0019555555555555555;GENODEM1EWB;-574,2;;
01.10.20;Lastschrift;BeSte Stadtwerke GmbH;Abschlag 2020 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-461;DE77ZZZ00000148157    ;CO0960027455845          
01.10.20;Abschluss;;Abrechnung 30.09.2020      siehe AnlageAbrechnung 30.09.2020Information zur AbrechnungKontostand am 30.09.2020                                       32.531,29 +Abrechnungszeitraum vom 01.07.2020 bis 30.09.2020Abrechnung 30.09.2020                                                0,00+Sollzinss?tze am 30.09.202012,0000 v.H. f?r geduldete Konto?berziehungKontostand/Rechnungsabschluss am 30.09.2020                    32.531,29 +Rechnungsnummer: 20200930-BY111-00089836333;1062668411;1230000;0;;
01.10.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0004555555555555555;COBADEHDXXX;265,28;;
01.10.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;220;;
02.10.20;Lastschrift;Stadt Lemans Abfallentsorg.-u.Stadtreinigungsbetr.P;R2022415 58,00        ABWA+ASP;DE0037555555555555555;WELADE3LXXX;-58;DE58ZZZ00000187687    ;LS-000003018          
02.10.20;Lastschrift;GC re LCG Energy GmbH;81199 10 2020 GAS 81199;DE0012555555555555555;BARCDEFFXXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;P8NSTCH               
05.10.20;Gutschrift;Wohnung_04;Spitzabrechnung WEH Muster-Str. 2 Drewes;DE0005555555555555555;WELADED1HXB;570,71;;
05.10.20;Dauerauftrag;Landlordgate;Verwalterhonorar;DE0007555555555555555;NOLADE21MEL;-893,78;;
06.10.20;Lastschrifteinzug;Wohnung_01;D635F7363B949362 HG in 10/2020 LAK2-006 Wohnung_01              DATUM 29.09.2020, 18.45 UHR1.TAN 281829;DE0001555555555555555;WELADE3LXXX;292,41;;
06.10.20;Lastschrifteinzug;Wohnung_03;D125F7363B924C1C HG in 10/2020 LAK2-002 Wohnung_03                       DATUM 29.09.2020, 18.45 UHR1.TAN 281829;DE0004555555555555555;DGPBDE3MXXX;268,24;;
06.10.20;Lastschrifteinzug;Wohnung_37;DCK5F7363BB450D2 HG in 10/2020 LAK2-037                    DATUM 29.09.2020, 18.45 UHR1.TAN 281829;DE0008555555555555555;GENODED1ASN;282,28;;
06.10.20;Lastschrifteinzug;Wohnung_22;DFS5F7363BA93FC6 HG in 10/2020 LAK2-022 Wohnung_22                    DATUM 29.09.2020, 18.45 UHR1.TAN 281829;DE0010555555555555555;DGPBDE3MXXX;246,76;;
06.10.20;Lastschrifteinzug;Wohnung_24;DZU5F7363BACA5C4 HG in 10/2020 LAK2-024 Wohnung_24                   DATUM 29.09.2020, 18.45 UHR1.TAN 281829;DE0022555555555555555;WELADE3LXXX;336,41;;
06.10.20;Lastschrifteinzug;Wohnung_19;DJ35F7363B96DAF1 HG in 10/2020 LAK2-007 Kzritzwik, Vitali                     DATUM 29.09.2020, 18.45 UHR1.TAN 281829;DE0031555555555555555;GENODEM1SLN;253,41;;
06.10.20;Lastschrifteinzug;Wohnung_19;DQA5F7363BA42EB2 HG in 10/2020 LAK2-019 Kzritzwik, Eduard                     DATUM 29.09.2020, 18.45 UHR1.TAN 281829;DE0031555555555555555;GENODEM1SLN;247,41;;
07.10.20;Überweisung;Kurz und Schluss-Elektrik;Re 2005897, Muster-Str. 2, Bad QuelllippeDATUM 07.10.2020, 16.30 UHR1.TAN 790231;DE0014555555555555555;DGPBDE3MXXX;-1492,99;;
08.10.20;Rückbelastung;Weg Muster-Str. 2, Bad Quelllippe / Wohnung_22; RÜCKLASTSCHRIFT      SONSTIGE GR?NDE            ZINSAUSGLEICH-FREMDENTGELT       3,00 EURO            EIGENENTGELT     0,00 EURO;DE0010555555555555555;DGPBDE3MXXX;-249,76;;DE0176LKA002
09.10.20;Lastschrift;Telekom Deutschland GmbH;Festnetz Vertragskonto 5612412723 RG 7561348811/30.09.2020;DE0038555555555555555;PBNKDEFFXXX;-19,44;DE93ZZZ00000078611    ;DE001873774954            
13.10.20;Lastschrift;Stadtwerke Lemans GmbH;VK 20068667 TRINKWASSERPB Abschlag 33175-Muster-Str. 2               ABWA+StW Lemans GmbH;DE0044555555555555555;WELADE3L;-567;DE76ZZZ00001788445    ;2680-00667/187          
28.10.20;Lastschrift;Knappschaft-Bahn-See;6504950079 OB-976239171 EUR 184,97 BEITRAG 1020 - 1020                       ABWA+Deutsche Rentenversicherung Knappschaft-Bahn-See;DE0016555555555555555;WELADEDDXXX;-184,97;DE81KBS00000034886    ;5,05E+17
30.10.20;Überweisung;WischUndDreck;Re 5861-20, Muster-Str. 2, Bad LippspringeDATUM 30.10.2020, 16.09 UHR1.TAN 779948;DE0019555555555555555;GENODEM1EWB;-574,2;;
30.10.20;Überweisung;WischUndDreck;Re 6012-20, Muster-Str. 2, Bad QuelllippeDATUM 30.10.2020, 16.09 UHR1.TAN 130790;DE0019555555555555555;GENODEM1EWB;-574,2;;
30.10.20;Überweisung;Bunte GmbH & Co.KG;Re 20-404He, Muster-Str. 2, Bad Quelllippe                          DATUM 30.10.2020, 16.16 UHR1.TAN 566869;DE0025555555555555555;WELADE3LXXX;-2350,18;;
30.10.20;Überweisung;Joachim Eilbrecht;Re 2816/20/2251, Muster-Str. 2, Bad Quelllippe                      DATUM 30.10.2020, 16.11 UHR1.TAN 213515;DE0042555555555555555;GENODEM1STM;-45,89;;
02.11.20;Lastschrift;BeSte Stadtwerke GmbH;Abschlag 2020 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-461;DE77ZZZ00000148157    ;CO0960027455845          
02.11.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0004555555555555555;COBADEHDXXX;265,28;;
02.11.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;220;;
03.11.20;Dauerauftrag;Landlordgate;Verwalterhonorar;DE0007555555555555555;NOLADE21MEL;-893,78;;
03.11.20;Überweisung;Dunkel, Kunzenfluss & Partner;Re 2001207, Muster-Str. 2, Bad QuelllippeDATUM 03.11.2020, 16.51 UHR1.TAN 094280;DE0045555555555555555;BYLADEM1001;-329,44;;
04.11.20;Lastschrift;GC re LCG Energy GmbH;81199 11 2020 GAS 81199;DE0012555555555555555;BARCDEFFXXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;P8NSTCH               
06.11.20;Lastschrifteinzug;Wohnung_01;D7M5F9C3BD406721 HG in 11/2020 LAK2-006 Wohnung_01              DATUM 30.10.2020, 17.23 UHR1.TAN 872063;DE0001555555555555555;WELADE3LXXX;292,41;;
06.11.20;Lastschrifteinzug;Wohnung_03;DI55F9C3BD3DD6E6 HG in 11/2020 LAK2-002 Wohnung_03                       DATUM 30.10.2020, 17.23 UHR1.TAN 872063;DE0004555555555555555;DGPBDE3MXXX;268,24;;
06.11.20;Lastschrifteinzug;Wohnung_37;D3D5F9C3BD5D8160 HG in 11/2020 LAK2-037                    DATUM 30.10.2020, 17.23 UHR1.TAN 872063;DE0008555555555555555;GENODED1ASN;282,28;;
06.11.20;Lastschrifteinzug;Wohnung_22;D8G5F9C3BD535C3B HG in 11/2020 LAK2-022 Wohnung_22                    DATUM 30.10.2020, 17.23 UHR1.TAN 872063;DE0010555555555555555;DGPBDE3MXXX;246,76;;
06.11.20;Lastschrifteinzug;Wohnung_24;DOP5F9C3BD55A967 HG in 11/2020 LAK2-024 Wohnung_24                   DATUM 30.10.2020, 17.23 UHR1.TAN 872063;DE0022555555555555555;WELADE3LXXX;336,41;;
06.11.20;Lastschrifteinzug;Wohnung_19;D2Z5F9C3BD4E5748 HG in 11/2020 LAK2-019 Kzritzwik, Eduard                     DATUM 30.10.2020, 17.23 UHR1.TAN 872063;DE0031555555555555555;GENODEM1SLN;247,41;;
06.11.20;Lastschrifteinzug;Wohnung_19;DBM5F9C3BD424639 HG in 11/2020 LAK2-007 Kzritzwik, Vitali                     DATUM 30.10.2020, 17.23 UHR1.TAN 872063;DE0031555555555555555;GENODEM1SLN;253,41;;
09.11.20;Gutschrift;Wohnung_04;Drewes 19-2747172-0-6;DE0005555555555555555;WELADED1HXB;250;;
10.11.20;Lastschrift;Telekom Deutschland GmbH;Festnetz Vertragskonto 5612412723 RG 7578441559/30.10.2020;DE0038555555555555555;PBNKDEFFXXX;-19,44;DE93ZZZ00000078611    ;DE001873774954            
10.11.20;Rückbelastung;Weg Muster-Str. 2, Bad Quelllippe / Wohnung_22; RÜCKLASTSCHRIFT      SONSTIGE GRÜNDE            ZINSAUSGLEICH-FREMDENTGELT       3,00 EURO            EIGENENTGELT     0,00 EURO;DE0010555555555555555;DGPBDE3MXXX;-249,76;;DE0176LKA002
11.11.20;Überweisung;lemans Brandschutz GmbH & o.;Re 20203414,Muster-Str.2,  B ad Quelllippe                          DATUM 10.11.2020, 19.18 UHR1.TAN 331376;DE0027555555555555555;GENODEM1EWB;-370,04;;
12.11.20;Lastschrift;Stadtwerke Lemans GmbH;VK 20068667 TRINKWASSERPB Abschlag 33175-Muster-Str. 2               ABWA+StW Lemans GmbH;DE0044555555555555555;WELADE3L;-567;DE76ZZZ00001788445    ;2680-00667/187          
16.11.20;Lastschrift;Stadt Bad Quelllippe;1005882-12-1000-1 ABGABEN Muster-Str. 2   ABWA+BAD Quelllippe;DE0030555555555555555;WELADE3LXXX;-3245,35;DE62BL100000093525    ;10634282-18-1074     
16.11.20;LuiKorrektur;Stadt Bad Quelllippe;042200 Abwasser;DE0030555555555555555;WELADE3LXXX;-1652,7;DE62BL100000093525    ;10634282-18-1074     
16.11.20;LuiKorrektur;Stadt Bad Quelllippe;042300 Niederschlagswasser;DE0030555555555555555;WELADE3LXXX;-317,64;DE62BL100000093525    ;10634282-18-1074     
16.11.20;LuiKorrektur;Stadt Bad Quelllippe;043200 Müllentsorgung;DE0030555555555555555;WELADE3LXXX;-1202,94;DE62BL100000093525    ;10634282-18-1074     
16.11.20;LuiKorrektur;Stadt Bad Quelllippe;043300 Straßenreinigung;DE0030555555555555555;WELADE3LXXX;-72,07;DE62BL100000093525    ;10634282-18-1074     
16.11.20;LuiKorrektur;Stadt Bad Quelllippe;Originalbuchung neutralisieren;DE0030555555555555555;WELADE3LXXX;3245,35;DE62BL100000093525    ;10634282-18-1074     
18.11.20;Überweisung;SanitäreAnlagen-KlimaUndSchwimmbadtechnik Rööhrig;Re 206903/140, Muster-Str. 2, 17.43 UHR1.TAN 320108                  DATUM 18.11.2020, 17.40 UHR1.TAN 739383;DE0015555555555555555;DEUTDE3B472;-481,21;;
23.11.20;Überweisung;lemans Brandschutz GmbH & o.;Re 20203545,Muster-Str.2, B ad QuelllippeDATUM 23.11.2020, 16.55 UHR1.TAN 256566;DE0027555555555555555;GENODEM1EWB;-753,94;;
25.11.20;Überweisung;WEG Elbeallee 168, 33689 Bielefeld;ACM Re 0126/20 - Erstattung                      DATUM 25.11.2020, 16.19 UHR1.TAN 796814;DE0036555555555555555;BYLADEM1001;-522;;
26.11.20;Lastschrift;Knappschaft-Bahn-See;0554580707 OB-976239171 EINZUG BEITRAG            ABWA+Deutsche Rentenversicherung Knappschaft-Bahn-See;DE0016555555555555555;WELADEDDXXX;-14,97;DE81KBS00000034886    ;5,05E+17
30.11.20;Lastschrift;Stadt Lemans Abfallentsorg.-u.Stadtreinigungsbetr.P;R2025781 58,00        ABWA+ASP;DE0037555555555555555;WELADE3LXXX;-58;DE58ZZZ00000187687    ;LS-000003018          
01.12.20;Lastschrift;BeSte Stadtwerke GmbH;Abschlag 2020 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-461;DE77ZZZ00000148157    ;CO0960027455845          
01.12.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0004555555555555555;COBADEHDXXX;265,28;;
01.12.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;220;;
01.12.20;Überweisung;R.+R Wulfkuhle;Re 202206, Muster-Str. 2, Bad Quelllippe DATUM 01.12.2020, 16.59 UHR1.TAN 068749;DE0026555555555555555;GENODEM1SLN;-32,54;;
03.12.20;Lastschrift;GC re LCG Energy GmbH;81199 12 2020 GAS 81199;DE0012555555555555555;BARCDEFFXXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;P8NSTCH               
03.12.20;Lastschrifteinzug;Wohnung_01;DJN5FC0F867CFD78 HG in 12/2020 LAK2-006 Wohnung_01              DATUM 27.11.2020, 14.23 UHR1.TAN 688166;DE0001555555555555555;WELADE3LXXX;292,41;;
03.12.20;Lastschrifteinzug;Wohnung_03;DCI5FC0F867AC6F9 HG in 12/2020 LAK2-002 Wohnung_03                       DATUM 27.11.2020, 14.23 UHR1.TAN 688166;DE0004555555555555555;DGPBDE3MXXX;268,24;;
03.12.20;Dauerauftrag;Landlordgate;Verwalterhonorar;DE0007555555555555555;NOLADE21MEL;-893,78;;
